Job Title,Company,Location,Date Posted,Company ID,Post ID,URL
Ruby Developer (Rubyist) - W2,"Computer Enterprises, Inc.","Philadelphia, PA",11-11-2016,ceiam,AKJO037524,https://www.dice.com/jobs/detail/Ruby-Developer-%28Rubyist%29-%26%2345-W2-Computer-Enterprises%2C-Inc.-Philadelphia-PA-19103/ceiam/AKJO037524?icid=sr40-1p&q=ruby developer&l=
Part-Time Ruby Developer,Confidential Company,"Cambridge, MA",11-14-2016,90881652,ptrrd,https://www.dice.com/jobs/detail/Part%26%2345Time-Ruby-Developer-Confidential-Company-Cambridge-MA-02138/90881652/ptrrd?icid=sr41-1p&q=ruby developer&l=
Ruby on Rails Developer,"E*Pro, Inc.","Iselin, NJ",11-14-2016,estarpro,EPRO-C-ROR-DC,https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-E*Pro%2C-Inc.-Iselin-NJ-08830/estarpro/EPRO-C-ROR-DC?icid=sr42-1p&q=ruby developer&l=
Senior Ruby on Rails Developer,NCSA Sports,"Chicago, IL",10-19-2016,90933008,348,https://www.dice.com/jobs/detail/Senior-Ruby-on-Rails-Developer-NCSA-Sports-Chicago-IL-60642/90933008/348?icid=sr43-1p&q=ruby developer&l=
Ruby Web Developer,SolutionStream,"Lehi, UT",10-27-2016,10282071,696897,https://www.dice.com/jobs/detail/Ruby-Web-Developer-SolutionStream-Lehi-UT-84043/10282071/696897?icid=sr44-1p&q=ruby developer&l=
Software Engineer - Ruby on Rails,Dice Marketing Account,"Des Moines, IA",11-11-2016,music1,623252,https://www.dice.com/jobs/detail/Software-Engineer-%26%2345-Ruby-on-Rails-Dice-Marketing-Account-Des-Moines-IA-50310/music1/623252?icid=sr45-1p&q=ruby developer&l=
Ruby on Rails Software Engineer 3/4 -...,NORTHROP GRUMMAN,"Dulles, VA",11-13-2016,ngitbot,16010578,https://www.dice.com/jobs/detail/Ruby-on-Rails-Software-Engineer-3%26%23474-%26%2345-TS%26%2347SCI-w%26%2347poly-required.-NORTHROP-GRUMMAN-Dulles-VA-20101/ngitbot/16010578?icid=sr46-1p&q=ruby developer&l=
Ruby on Rails Senior Lead Developer -...,UnitedHealth Group,"Eden Prairie, MN",11-14-2016,uhgbot,686409,https://www.dice.com/jobs/detail/Ruby-on-Rails-Senior-Lead-Developer-%26%2345-Telecommute-UnitedHealth-Group-Eden-Prairie-MN-55343/uhgbot/686409?icid=sr47-1p&q=ruby developer&l=
Ruby on Rails Developer - Telecommuter,UnitedHealth Group,"Eden Prairie, MN",11-14-2016,uhgbot,671593,https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-%26%2345-Telecommuter-UnitedHealth-Group-Eden-Prairie-MN-55343/uhgbot/671593?icid=sr48-1p&q=ruby developer&l=
Front End Developer (Ruby on Rails),PRS,"Escondido, CA",11-14-2016,profrev,prsv011fedca,https://www.dice.com/jobs/detail/Front-End-Developer-%28Ruby-on-Rails%29-PRS-Escondido-CA-92026/profrev/prsv011fedca?icid=sr49-1p&q=ruby developer&l=
Ruby Rails Developer,The Judge Group,"Boston, MA",11-14-2016,cxjudgpa,508976,https://www.dice.com/jobs/detail/Ruby-Rails-Developer-The-Judge-Group-Boston-MA-02108/cxjudgpa/508976?icid=sr50-1p&q=ruby developer&l=
Ruby on Rails Developer - Ruby on...,CyberCoders,"Los Angeles, CA",11-14-2016,cybercod,BP2-1241946160,https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-%26%2345-Ruby-on-Rails%2C-Ruby%2C-Rails%2C-Javascript-CyberCoders-Los-Angeles-CA-90001/cybercod/BP2-1241946160?icid=sr51-1p&q=ruby developer&l=
Ruby Software Developer,Ankura Consulting,"Washington, DC",11-11-2016,RTX1655a9,772403,https://www.dice.com/jobs/detail/Ruby-Software-Developer-Ankura-Consulting-Washington-DC-20036/RTX1655a9/772403?icid=sr52-1p&q=ruby developer&l=
Ruby on Rails Developer,Ben Kinney Tech,"Bellingham, WA",11-11-2016,RTX1bae0d,4750680,https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-Ben-Kinney-Tech-Bellingham-WA-98225/RTX1bae0d/4750680?icid=sr53-1p&q=ruby developer&l=
"Ruby on Rails Developer - Agile (Java,...",CGI,"Sacramento, CA",11-14-2016,cgiamsbot,J0716-1467,https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-%26%2345-Agile-%28Java%2C-.NET%29-CGI-Sacramento-CA-94203/cgiamsbot/J0716-1467?icid=sr54-1p&q=ruby developer&l=
Ruby on Rails Developer,Noblis,"Reston, VA",11-14-2016,10110945,4977,https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-Noblis-Reston-VA-20190/10110945/4977?icid=sr55-1p&q=ruby developer&l=
"Software Engineer, Ruby on Rails",The Advisory Board Company,"Washington Dc, DC",11-14-2016,10118429,JO161110618-459,https://www.dice.com/jobs/detail/Software-Engineer%2C-Ruby-on-Rails-The-Advisory-Board-Company-Washington-Dc-DC-56920/10118429/JO161110618-459?icid=sr56-1p&q=ruby developer&l=
Sr. Software Engineer-Stargate(Ruby on Rails)...,Ingram Content Group Inc.,"Raleigh, NC",11-14-2016,RTX1766a0,2284BR-362,https://www.dice.com/jobs/detail/Sr.-Software-Engineer%26%2345Stargate%28Ruby-on-Rails%29-%28VitalSource%29-Ingram-Content-Group-Inc.-Raleigh-NC-27601/RTX1766a0/2284BR-362?icid=sr57-1p&q=ruby developer&l=
Ruby on Rails Developer,"Sage Software, Inc.","Mt. Laurel, NJ",11-14-2016,RTL404029,14617,https://www.dice.com/jobs/detail/Ruby-on-Rails-Developer-Sage-Software%2C-Inc.-Mt.-Laurel-NJ-08054/RTL404029/14617?icid=sr58-1p&q=ruby developer&l=
